timestamp,,e_point,n_point,e_cur,n_cur,,,Cur_head,Head_ref,Head_command
1.66E+12,21463.56006,0,0,1.984,0.881,-0.159140577,-0.019892572,101.9680328,0,0
1.66E+12,21564.04004,0,0,1.97,0.877,-0.139331238,-0.039808925,101.9267731,0,0
1.66E+12,21664.55005,0,0,1.96,0.876,-0.099492578,-0.009949258,101.895134,0,0
1.66E+12,21764.87012,0,0,1.972,0.876,0.119617141,0,101.6577072,0,0
1.66E+12,21865.23999,0,0,1.972,0.876,0,0,101.8545685,0,0
1.66E+12,21966.20996,0,0,1.971,0.878,-0.009903935,0.01980787,102.0734787,0,0
1.66E+12,22066.75,0,0,1.97,0.884,-0.009946286,0.059677716,102.2169037,0,0
1.66E+12,22167.09009,0,0,1.97,0.884,0,0,102.2135696,0,0
1.66E+12,22267.48999,0,0,1.969,0.895,-0.009960169,0.109561862,102.3922729,0,0
1.66E+12,22367.80005,0,0,1.966,0.91,-0.02990727,0.149536348,102.4891891,0,0
1.66E+12,22468.09009,0,0,1.966,0.91,0,0,102.6962509,0,0
1.66E+12,22568.46997,0,0,1.963,0.925,-0.029886467,0.149432336,102.8015594,0,0
1.66E+12,22668.81006,0,0,1.963,0.925,0,0,103.0379105,0,0
1.66E+12,22769.11011,0,0,1.96,0.94,-0.029910254,0.149551271,103.3186188,0,0
1.66E+12,22869.66016,0,0,1.958,0.953,-0.019890592,0.129288847,103.7356873,0,0
1.66E+12,22970.04004,0,0,1.958,0.953,0,0,104.1068039,0,0
1.66E+12,23070.65015,0,0,1.958,0.964,0,0.109332949,104.5293274,0,0
1.66E+12,23170.97998,0,0,1.959,0.973,0.009967125,0.089704129,104.5177536,0,0
1.66E+12,23272.02002,0,0,1.959,0.973,0,0,104.6375046,0,0
1.66E+12,23372.40015,0,0,1.961,0.981,0.019924262,0.079697048,104.6344376,0,0
1.66E+12,23472.73999,0,0,1.961,0.981,0,0,104.8650589,0,0
1.66E+12,23573.16016,0,0,1.962,0.986,0.009958159,0.049790794,104.9352188,0,0
1.66E+12,23673.47998,0,0,1.963,0.989,0.00996812,0.02990436,104.8086777,0,0
1.66E+12,23773.80005,0,0,1.963,0.989,0,0,105.0103378,0,0
1.66E+12,23874.15015,0,0,1.962,0.991,-0.009965112,0.019930224,105.0467072,0,0
1.66E+12,23974.76001,0,0,1.96,0.992,-0.019878767,0.009939384,105.0476227,0,0
1.66E+12,24075.08008,0,0,1.96,0.992,0,0,105.2104721,0,0
1.66E+12,24175.57007,0,0,1.958,0.994,-0.01990248,0.01990248,105.3161392,0,0
1.66E+12,24276.32007,0,0,1.958,0.994,0,0,105.3724594,0,0
1.66E+12,24376.63013,0,0,1.955,0.996,-0.02990727,0.01993818,105.3431091,0,0
1.66E+12,24477,0,0,1.954,1.002,-0.009963149,0.059778896,105.5207291,0,0
1.66E+12,24577.30005,0,0,1.954,1.002,0,0,105.7426605,0,0
1.66E+12,24677.67993,0,0,1.952,1.01,-0.019924312,0.079697246,105.8838959,0,0
1.66E+12,24778.16016,0,0,1.951,1.021,-0.009952207,0.109474272,106.0871887,0,0
1.66E+12,24878.52002,0,0,1.951,1.021,0,0,106.3787384,0,0
1.66E+12,24979.06006,0,0,1.952,1.036,0.009946286,0.149194291,106.6988831,0,0
1.66E+12,25079.43994,0,0,1.952,1.036,0,0,107.02034,0,0
1.66E+12,25179.87012,0,0,1.954,1.052,0.019914333,0.15931466,107.4487228,0,0
1.66E+12,25280.40015,0,0,1.956,1.07,0.019894553,0.179050976,107.787796,0,0
1.66E+12,25380.72998,0,0,1.956,1.07,0,0,108.2675705,0,0
1.66E+12,25481.07007,0,0,1.957,1.086,0.009966106,0.1594577,108.6786194,0,0
1.66E+12,25581.62012,0,0,1.957,1.099,0,0.129288847,109.3892899,0,0
1.66E+12,25682,0,0,1.957,1.099,0,0,110.0594406,0,0
1.66E+12,25782.40015,0,0,1.955,1.11,-0.019920289,0.109561589,110.061203,0,0
1.66E+12,25882.71997,0,0,1.955,1.11,0,0,110.3595963,0,0
1.66E+12,25982.96997,0,0,1.953,1.116,-0.019950125,0.059850374,110.854126,0,0
1.66E+12,26083.32007,0,0,1.95,1.119,-0.029895336,0.029895336,110.924057,0,0
1.66E+12,26183.71997,0,0,1.95,1.119,0,0,111.0804138,0,0
1.66E+12,26284.11011,0,0,1.949,1.119,-0.009961138,0,111.450058,0,0
1.66E+12,26384.43994,0,0,1.949,1.117,0,-0.019934251,111.558876,0,0
1.66E+12,26485.38013,0,0,1.949,1.117,0,0,111.8406677,0,0
1.66E+12,26585.84009,0,0,1.949,1.115,0,-0.019908429,112.0016785,0,0
1.66E+12,26686.16016,0,0,1.949,1.115,0,0,112.2619934,0,0
1.66E+12,26786.46997,0,0,1.952,1.114,0.029907344,-0.009969115,112.4944,0,0
1.66E+12,26886.77002,0,0,1.954,1.115,0.01994017,0.009970085,113.0429001,0,0
1.66E+12,26987.07007,0,0,1.954,1.115,0,0,113.5339127,0,0
1.66E+12,27087.39014,0,0,1.957,1.121,0.029904285,0.059808571,114.146225,0,0
