timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,16904.1499,0,0,1.783,1.127,107.2668076,0,0,0,0
1.65661E+12,17006.22998,0,0,1.783,1.129,107.2575302,0,0,0,0
1.65661E+12,17106.55005,0,0,1.783,1.129,107.2283325,0,0,0,0
1.65661E+12,17207.10986,0,0,1.782,1.129,107.2944031,0,0,0,0
1.65661E+12,17307.47998,0,0,1.782,1.127,107.3880234,0,0,0,0
1.65661E+12,17408.38989,0,0,1.782,1.127,107.4768524,0,0,0,0
1.65661E+12,17508.92993,0,0,1.782,1.125,107.630394,0,0,0,0
1.65661E+12,17609.41992,0,0,1.781,1.121,107.7360687,0,0,0,0
1.65661E+12,17709.77002,0,0,1.781,1.121,107.8421097,0,0,0,0
1.65661E+12,17810.25,0,0,1.781,1.117,107.9641266,0,0,0,0
1.65661E+12,17911,0,0,1.781,1.117,108.0765839,0,0,0,0
1.65661E+12,18011.35986,0,0,1.781,1.114,108.1539307,0,0,0,0
1.65661E+12,18112.20996,0,0,1.781,1.114,108.2041092,0,0,0,0
1.65661E+12,18212.54004,0,0,1.781,1.114,108.202301,0,0,0,0
1.65661E+12,18312.84985,0,0,1.781,1.114,108.2018433,0,0,0,0
1.65661E+12,18413.23999,0,0,1.782,1.115,108.209198,0,0,0,0
1.65661E+12,18513.56982,0,0,1.782,1.115,108.2491913,0,0,0,0
1.65661E+12,18613.90991,0,0,1.782,1.116,108.3058395,0,0,0,0
1.65661E+12,18714.23999,0,0,1.782,1.116,108.3544312,0,0,0,0
1.65661E+12,18814.75,0,0,1.783,1.115,108.3978958,0,0,0,0
1.65661E+12,18918.48999,0,0,1.782,1.114,108.4900742,0.052359878,3,-0.20943951,-6
1.65661E+12,19023.70996,0,0,1.782,1.114,108.5988922,0.052359878,3,-0.20943951,-6
1.65661E+12,19125.15991,0,0,1.783,1.113,108.76754,0.052359878,3,-0.20943951,-6
1.65661E+12,19228.85986,0,0,1.783,1.113,108.3345261,0.052359878,3,-0.20943951,-6
1.65661E+12,19333.22998,0,0,1.783,1.113,107.5630264,0.052359878,3,-0.20943951,-6
1.65661E+12,19436.85986,0,0,1.782,1.115,107.2777252,0.052359878,3,-0.20943951,-6
1.65661E+12,19541.17993,0,0,1.782,1.116,106.4751816,0.052359878,3,-0.20943951,-6
1.65661E+12,19643.85986,0,0,1.782,1.116,105.9390335,0.052359878,3,-0.20943951,-6
1.65661E+12,19745.46997,0,0,1.783,1.116,105.3029022,0.052359878,3,-0.20943951,-6
1.65661E+12,19846.56982,0,0,1.783,1.118,104.9617996,0.052359878,3,-0.20943951,-6
1.65661E+12,19948.3999,0,0,1.783,1.118,104.3175812,0.052359878,3,-0.20943951,-6
1.65661E+12,20051.6499,0,0,1.782,1.12,103.6283035,0.052359878,3,-0.20943951,-6
1.65661E+12,20152.62988,0,0,1.782,1.12,103.468956,0.052359878,3,-0.20943951,-6
1.65661E+12,20253.51001,0,0,1.781,1.121,103.4516068,0.052359878,3,-0.20943951,-6
1.65661E+12,20354.3999,0,0,1.779,1.12,103.4266357,0.052359878,3,-0.20943951,-6
1.65661E+12,20455.33984,0,0,1.779,1.12,103.4678268,0.052359878,3,-0.20943951,-6
1.65661E+12,20556.62988,0,0,1.778,1.117,102.2625046,0.052359878,3,-0.20943951,-6
